responder_caste,term,estimate,se_hc1,se_cluster_letter,se_multinomial,ratio_cluster_to_hc1
HC,HCG-HI,0.21966527196654487,0.01982727304825627,0.020098883149617358,0.020059166789307928,1.013698812776726
HC,HCG-MI,0.16736401673636778,0.01811642014170156,0.01834747737760221,0.01831122187938665,1.0127540228198169
HC,HCG-LI,0.1694560669456102,0.01819399713857306,0.01842671847098408,0.018390306388552036,1.01279110525513
HC,MCG-HI,0.1276150627615097,0.016468084610260707,0.016666440768412727,0.01663350707942756,1.0120448833514268
HC,MCG-MI,0.050209205020917115,0.011881623264849992,0.012004244108715433,0.011980523144686634,1.0103202097164785
HC,MCG-LI,0.03347280334728014,0.01047646612116484,0.010577868475983142,0.01055696609884412,1.0096790610159514
HC,LCG-HI,0.09623430962343002,0.014883310309169595,0.015053700469850646,0.015023953633304924,1.0114484047662484
HC,LCG-MI,0.041841004184101256,0.011207652009923774,0.011320056064797064,0.01129768708926657,1.0100292242098312
MC,HCG-HI,-1.8299770612228365e-15,0.018951151313284256,0.019698063201862934,0.019648313444784852,1.0394124808689122
MC,HCG-MI,0.018716577540112106,0.02002849059733862,0.02091340138721269,0.0208605821517342,1.044182600060319
MC,HCG-LI,0.032085561497326685,0.02073611246570146,0.021713414590153888,0.0216585748279844,1.047130440967126
MC,MCG-HI,0.1497326203208518,0.025347722431492137,0.027021254025310137,0.026953008695302923,1.066022957223912
MC,MCG-MI,0.050802139037436266,0.02165088103317969,0.022750853898561227,0.022693393962364375,1.0508049932792962
MC,MCG-LI,0.005347593582888445,0.01927008496764237,0.020057610073088226,0.020006952238432775,1.0408677546968912
MC,LCG-HI,0.08288770053476262,0.023040417660201595,0.024337197384644647,0.024275730952871902,1.0562828219335199
MC,LCG-MI,0.010695187165775269,0.01957991009690602,0.02040705884144821,0.020355518433153193,1.0422447672358257
LC,HCG-HI,-0.15498154981550008,0.02352509061709336,0.023851898872717433,0.023768757629327026,1.0138919020948047
LC,HCG-MI,-0.1402214022140278,0.024618689273328085,0.025297259125421474,0.02520907974862241,1.0275631998340606
LC,HCG-LI,-0.0885608856088547,0.027886307623012606,0.029594504625248548,0.02949134621739283,1.0612557612620714
LC,MCG-HI,-0.1291512915129158,0.025387167823555896,0.02630907564050481,0.026217369346054887,1.036313929279402
LC,MCG-MI,-0.02214022140221325,0.031131706081831363,0.03391119945473929,0.0337929942207429,1.0892817555710528
LC,MCG-LI,-0.04797047970479712,0.02997631917871722,0.03236135757514214,0.03224855466913762,1.0795640846431296
LC,LCG-HI,0.08856088560885299,0.03486819117323913,0.039166324265347184,0.03902980109309045,1.1232680258850598
LC,LCG-MI,7.253201926410201e-16,0.03202759302900777,0.03512921467003323,0.035006763765701616,1.0968421710059912
